url,source,publish_date,year,slug,clean_headline,similarity_score
http://bali.bisnis.com/read/20180503/538/791388/satgas-pangan-bali-cermati-elpiji-oplosan-empat-risiko-inflasi,bisnis.com,2018-05-03,2018,satgas pangan bali cermati elpiji oplosan empat risiko inflasi,satgas pangan bali cermati elpiji oplosan empat risiko inflasi,0.75726247
http://bali.bisnis.com/read/20170801/14/67987/target-pertumbuhan-ekonomi-nasional-52-cukup-berat,bisnis.com,2017-08-01,2017,target pertumbuhan ekonomi nasional 52 cukup berat,target pertumbuhan ekonomi nasional cukup berat,0.7067925
http://bali.bisnis.com/read/20170403/16/65662/labu-siam-sumbang-inflasi-bulanan-denpasar,bisnis.com,2017-04-03,2017,labu siam sumbang inflasi bulanan denpasar,labu siam sumbang inflasi bulanan denpasar,0.71393716
http://bandung.bisnis.com/read/20170113/34231/565987/ini-besaran-sumbangan-kenaikan-stnk-tarif-listrik-terhadap-inflasi,bisnis.com,2017-01-13,2017,ini besaran sumbangan kenaikan stnk tarif listrik terhadap inflasi,ini besaran sumbangan kenaikan stnk tarif listrik terhadap inflasi,0.7449014
http://bandung.bisnis.com/read/20170216/34231/567541/ekonomi-ri-diprediksi-naik-53-di-2017,bisnis.com,2017-02-16,2017,ekonomi ri diprediksi naik 53 di 2017,ekonomi ri diprediksi naik di,0.78385115
http://bandung.bisnis.com/read/20170610/82443/571426/inflasi-kota-cirebon-tertinggi-di-jabar-ini-respon-kepala-bank-indonesia,bisnis.com,2017-06-10,2017,inflasi kota cirebon tertinggi di jabar ini respon kepala bank indonesia,inflasi kota cirebon tertinggi di jabar ini respon kepala bank indonesia,0.7020096
http://bandung.bisnis.com/read/20180402/5/578173/kenaikan-harga-bensin-kerek-inflasi-jabar-capai-029,bisnis.com,2018-04-02,2018,kenaikan harga bensin kerek inflasi jabar capai 029,kenaikan harga bensin kerek inflasi jabar capai,0.80273205
http://bandung.bisnis.com/read/20170616/34231/571628/bi-turunkan-proyeksi-pertumbuhan-ekonomi-2017-menjadi-517,bisnis.com,2017-06-16,2017,bi turunkan proyeksi pertumbuhan ekonomi 2017 menjadi 517,bi turunkan proyeksi pertumbuhan ekonomi menjadi,0.70131636
http://bandung.bisnis.com/read/20171219/5/576254/oded-inflasi-mempengaruhi-kesenjangan-ekonomi,bisnis.com,2017-12-19,2017,oded inflasi mempengaruhi kesenjangan ekonomi,oded inflasi mempengaruhi kesenjangan ekonomi,0.7263628
http://bandung.bisnis.com/read/20180502/5/578752/panen-raya-berdampak-pada-deflasi-jabar-004-,bisnis.com,2018-05-02,2018,panen raya berdampak pada deflasi jabar 004 ,panen raya berdampak pada deflasi jabar,0.73680687
http://bisnis.liputan6.com/read/2826824/strategi-kein-bawa-ekonomi-ri-tumbuh-53-persen-di-2017,liputan6.com,2017-01-13,2017,strategi kein bawa ekonomi ri tumbuh 53 persen di 2017,strategi kein bawa ekonomi ri tumbuh persen di,0.7087123
http://bisnis.liputan6.com/read/2841332/harga-minyak-terus-naik-pertamina-upayakan-tak-ubah-harga-bbm,liputan6.com,2017-01-30,2017,harga minyak terus naik pertamina upayakan tak ubah harga bbm,harga minyak terus naik pertamina upayakan tak ubah harga bbm,0.7304665
http://bisnis.liputan6.com/read/2919534/ancaman-mendag-ke-daerah-yang-tak-urus-gejolak-harga-pangan,liputan6.com,2017-04-13,2017,ancaman mendag ke daerah yang tak urus gejolak harga pangan,ancaman mendag ke daerah yang tak urus gejolak harga pangan,0.7971775
http://bisnis.liputan6.com/read/2927386/harga-emas-dunia-naik-us-40-sen-per-ounce,liputan6.com,2017-04-22,2017,harga emas dunia naik us 40 sen per ounce,harga emas dunia naik us sen per ounce,0.7857462
http://bisnis.liputan6.com/read/2928678/harga-emas-antam-naik-jadi-rp-598-ribu-per-gram,liputan6.com,2017-04-22,2017,harga emas antam naik jadi rp 598 ribu per gram,harga emas antam naik jadi rp ribu per gram,0.71493137
http://bisnis.liputan6.com/read/2968527/sentimen-the-fed-dan-geopolitik-bayangi-harga-emas,liputan6.com,2017-05-29,2017,sentimen the fed dan geopolitik bayangi harga emas,sentimen the fed dan geopolitik bayangi harga emas,0.74917203
http://bisnis.liputan6.com/read/2977699/harga-emas-berpotensi-terus-menguat,liputan6.com,2017-06-05,2017,harga emas berpotensi terus menguat,harga emas berpotensi terus menguat,0.764816
http://bisnis.liputan6.com/read/2980991/harga-emas-antam-melonjak-jadi-rp-599-ribu-per-gram,liputan6.com,2017-06-07,2017,harga emas antam melonjak jadi rp 599 ribu per gram,harga emas antam melonjak jadi rp ribu per gram,0.72331274
http://bisnis.liputan6.com/read/2988902/kenaikan-harga-komoditas-jaga-pelemahan-rupiah,liputan6.com,2017-06-13,2017,kenaikan harga komoditas jaga pelemahan rupiah,kenaikan harga komoditas jaga pelemahan rupiah,0.7119343
http://bisnis.liputan6.com/read/3003230/tarif-listrik-tetap-berapa-potensi-kehilangan-keuntungan-pln,liputan6.com,2017-06-25,2017,tarif listrik tetap berapa potensi kehilangan keuntungan pln,tarif listrik tetap berapa potensi kehilangan keuntungan pln,0.71635556
http://bisnis.liputan6.com/read/3005779/pelemahan-dolar-as-bantu-kenaikan-harga-emas,liputan6.com,2017-06-29,2017,pelemahan dolar as bantu kenaikan harga emas,pelemahan dolar as bantu kenaikan harga emas,0.99999994
http://bisnis.liputan6.com/read/3012113/harga-3-komoditas-pangan-ini-masih-tinggi-usai-lebaran,liputan6.com,2017-07-05,2017,harga 3 komoditas pangan ini masih tinggi usai lebaran,harga komoditas pangan ini masih tinggi usai lebaran,0.81716716
http://bisnis.liputan6.com/read/3014356/harga-emas-naik-imbas-laporan-the-fed,liputan6.com,2017-07-07,2017,harga emas naik imbas laporan the fed,harga emas naik imbas laporan the fed,0.7889291
http://bisnis.liputan6.com/read/3019902/harga-emas-antam-naik-jadi-rp-582-ribu-per-gram,liputan6.com,2017-07-12,2017,harga emas antam naik jadi rp 582 ribu per gram,harga emas antam naik jadi rp ribu per gram,0.7149315
http://bisnis.liputan6.com/read/3024804/strategi-pemerintah-dan-bi-dongkrak-ekonomi-kalimantan,liputan6.com,2017-07-17,2017,strategi pemerintah dan bi dongkrak ekonomi kalimantan,strategi pemerintah dan bi dongkrak ekonomi kalimantan,0.71001333
http://bisnis.liputan6.com/read/3029240/dolar-as-menguat-terhadap-sebagian-besar-mata-uang-di-asia,liputan6.com,2017-07-24,2017,dolar as menguat terhadap sebagian besar mata uang di asia,dolar as menguat terhadap sebagian besar mata uang di asia,0.7069446
http://bisnis.liputan6.com/read/3051399/alasan-kenaikan-harga-gas-di-lapangan-grissik,liputan6.com,2017-08-11,2017,alasan kenaikan harga gas di lapangan grissik,alasan kenaikan harga gas di lapangan grissik,0.8564789
http://bisnis.liputan6.com/read/3059842/harga-emas-antam-naik-jadi-rp-598-ribu-per-gram,liputan6.com,2017-08-16,2017,harga emas antam naik jadi rp 598 ribu per gram,harga emas antam naik jadi rp ribu per gram,0.71493125
http://bisnis.liputan6.com/read/3090419/ri-harus-tarik-investasi-rp-799-t-agar-ekonomi-tumbuh-54-persen,liputan6.com,2017-09-11,2017,ri harus tarik investasi rp 799 t agar ekonomi tumbuh 54 persen,ri harus tarik investasi rp t agar ekonomi tumbuh persen,0.7024777
http://bisnis.liputan6.com/read/3103609/selangkah-lagi-meikarta-menjadi-pusat-pertumbuhan-ekonomi-baru,liputan6.com,2017-09-22,2017,selangkah lagi meikarta menjadi pusat pertumbuhan ekonomi baru,selangkah lagi meikarta menjadi pusat pertumbuhan ekonomi baru,0.7788411
http://bisnis.liputan6.com/read/3125606/hasil-rapat-the-fed-bayangi-harga-emas,liputan6.com,2017-10-12,2017,hasil rapat the fed bayangi harga emas,hasil rapat the fed bayangi harga emas,0.74475527
http://bisnis.liputan6.com/read/3138064/bi-rupiah-tersungkur-ke-13500-akibat-kebijakan-as,liputan6.com,2017-10-23,2017,bi rupiah tersungkur ke 13500 akibat kebijakan as,bi rupiah tersungkur ke akibat kebijakan as,0.7413205
http://bisnis.liputan6.com/read/3140981/harga-emas-rebound-imbas-pelemahan-dolar,liputan6.com,2017-10-26,2017,harga emas rebound imbas pelemahan dolar,harga emas rebound imbas pelemahan dolar,0.7620652
http://bali.bisnis.com/read/20180903/537/834436/agustus-2018-denpasar-inflasi-023,bisnis.com,2018-09-03,2018,agustus 2018 denpasar inflasi 023,agustus denpasar inflasi,0.71840155
http://bali.bisnis.com/read/20181106/538/857087/pegadaian-bali-targetkan-kenaikan-100-rekening-tabungan-emas,bisnis.com,2018-11-06,2018,pegadaian bali targetkan kenaikan 100 rekening tabungan emas,pegadaian bali targetkan kenaikan rekening tabungan emas,0.72104895
http://bandung.bisnis.com/read/20170504/5/570327/deflasi-kelompok-bahan-makanan-jabar-turun-ini-penyebabnya,bisnis.com,2017-05-04,2017,deflasi kelompok bahan makanan jabar turun ini penyebabnya,deflasi kelompok bahan makanan jabar turun ini penyebabnya,0.749794
http://bandung.bisnis.com/read/20180823/5/580392/memaknai-pertumbuhan-ekonomi-jawa-barat-,bisnis.com,2018-08-23,2018,memaknai pertumbuhan ekonomi jawa barat ,memaknai pertumbuhan ekonomi jawa barat,0.71121925
http://bisnis.liputan6.com/read/2823974/pertumbuhan-ekonomi-ri-dibayangi-kenaikan-suku-bunga-as,liputan6.com,2017-01-11,2017,pertumbuhan ekonomi ri dibayangi kenaikan suku bunga as,pertumbuhan ekonomi ri dibayangi kenaikan suku bunga as,1.0
http://bisnis.liputan6.com/read/2834890/pemerintah-rumuskan-harga-listrik-baru,liputan6.com,2017-01-23,2017,pemerintah rumuskan harga listrik baru,pemerintah rumuskan harga listrik baru,0.7768281
http://bisnis.liputan6.com/read/2846399/dolar-as-melemah-harga-emas-menguat,liputan6.com,2017-02-04,2017,dolar as melemah harga emas menguat,dolar as melemah harga emas menguat,0.7296035
http://bisnis.liputan6.com/read/2852160/rating-indonesia-naik-bisa-picu-pertumbuhan-ekonomi-2017,liputan6.com,2017-02-10,2017,rating indonesia naik bisa picu pertumbuhan ekonomi 2017,rating indonesia naik bisa picu pertumbuhan ekonomi,0.70600975
